date,province,metric,value
2015-01,Newfoundland and Labrador,Unemployment rate,11.8
2015-01,Newfoundland and Labrador,Participation rate,61.4
2015-01,Newfoundland and Labrador,Employment rate,54.2
2015-01,Prince Edward Island,Unemployment rate,10.8
2015-01,Prince Edward Island,Participation rate,68.9
2015-01,Prince Edward Island,Employment rate,61.4
2015-01,Nova Scotia,Unemployment rate,8.9
2015-01,Nova Scotia,Participation rate,63.3
2015-01,Nova Scotia,Employment rate,57.7
2015-01,New Brunswick,Unemployment rate,10.0
2015-01,New Brunswick,Participation rate,63.2
2015-01,New Brunswick,Employment rate,56.8
2015-01,Quebec,Unemployment rate,7.6
2015-01,Quebec,Participation rate,64.8
2015-01,Quebec,Employment rate,59.8
2015-01,Ontario,Unemployment rate,7.0
2015-01,Ontario,Participation rate,65.3
2015-01,Ontario,Employment rate,60.7
2015-01,Manitoba,Unemployment rate,6.0
2015-01,Manitoba,Participation rate,69.0
2015-01,Manitoba,Employment rate,64.9
2015-01,Saskatchewan,Unemployment rate,4.8
2015-01,Saskatchewan,Participation rate,69.6
2015-01,Saskatchewan,Employment rate,66.3
2015-01,Alberta,Unemployment rate,4.7
2015-01,Alberta,Participation rate,73.4
2015-01,Alberta,Employment rate,69.9
2015-01,British Columbia,Unemployment rate,5.7
2015-01,British Columbia,Participation rate,63.8
2015-01,British Columbia,Employment rate,60.1
2015-02,Newfoundland and Labrador,Unemployment rate,12.3
2015-02,Newfoundland and Labrador,Participation rate,61.4
2015-02,Newfoundland and Labrador,Employment rate,53.9
2015-02,Prince Edward Island,Unemployment rate,9.9
2015-02,Prince Edward Island,Participation rate,68.5
2015-02,Prince Edward Island,Employment rate,61.7
2015-02,Nova Scotia,Unemployment rate,9.2
2015-02,Nova Scotia,Participation rate,62.9
2015-02,Nova Scotia,Employment rate,57.1
2015-02,New Brunswick,Unemployment rate,10.0
2015-02,New Brunswick,Participation rate,63.4
2015-02,New Brunswick,Employment rate,57.1
2015-02,Quebec,Unemployment rate,7.6
2015-02,Quebec,Participation rate,65.0
2015-02,Quebec,Employment rate,60.1
2015-02,Ontario,Unemployment rate,7.0
2015-02,Ontario,Participation rate,65.5
2015-02,Ontario,Employment rate,60.9
2015-02,Manitoba,Unemployment rate,5.5
2015-02,Manitoba,Participation rate,68.6
2015-02,Manitoba,Employment rate,64.8
2015-02,Saskatchewan,Unemployment rate,5.1
2015-02,Saskatchewan,Participation rate,69.8
2015-02,Saskatchewan,Employment rate,66.2
2015-02,Alberta,Unemployment rate,5.4
2015-02,Alberta,Participation rate,73.4
2015-02,Alberta,Employment rate,69.4
2015-02,British Columbia,Unemployment rate,6.0
2015-02,British Columbia,Participation rate,63.7
2015-02,British Columbia,Employment rate,59.9
2015-03,Newfoundland and Labrador,Unemployment rate,13.4
2015-03,Newfoundland and Labrador,Participation rate,61.8
2015-03,Newfoundland and Labrador,Employment rate,53.6
2015-03,Prince Edward Island,Unemployment rate,11.1
2015-03,Prince Edward Island,Participation rate,68.9
2015-03,Prince Edward Island,Employment rate,61.2
2015-03,Nova Scotia,Unemployment rate,9.5
2015-03,Nova Scotia,Participation rate,62.8
2015-03,Nova Scotia,Employment rate,56.9
2015-03,New Brunswick,Unemployment rate,10.0
2015-03,New Brunswick,Participation rate,63.4
